lat	lon	title	description	icon	iconSize	iconOffset
28.0581353	-82.4165120		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0590764	-82.4193544		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0581202	-82.4166236		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0581135	-82.4165720		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0571263	-82.4132789		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0571187	-82.4132102		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0571263	-82.4129699		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0573156	-82.4129699		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0573535	-82.4129956		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0573535	-82.4131587		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0573535	-82.4132531		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0568686	-82.4085609		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0568535	-82.4086467		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0571565	-82.4086124		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0571110	-82.4085866		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0572019	-82.4088184		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0569595	-82.4088441		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0582947	-82.4107907		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0574205	-82.4152423		wheelchair node	/images/barrier-free.png	28,34	-8,-8
